"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";
"AILE";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"AUX1";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"BMP180BREAK";"";"M05PTH";"1X05";"Header 5";"";"";"";"";"";"";"";"";"";"";
"C1";"10uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C4";"22pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C5";"22pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C6";"10uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"ELEV";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"ESC1";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"ESC2";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"ESC3";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"ESC4";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"EXTRALOPYHEAD";"";"M08SILK_FEMALE_PTH";"1X08";"Header 8";"";"";"";"";"";"";"";"";"";"CONN-08438";
"GEAR";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"GPSLEFT";"";"M12PTH";"1X12";"Header 12";"";"";"";"";"";"";"";"";"";"";
"GPSRIGHT";"";"M15";"1X15";"Header 15";"";"";"";"";"";"";"";"";"";"";
"H5";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";
"H6";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";
"H7";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";
"H8";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";
"IMUBREAK";"";"M06SILK_FEMALE_PTH";"1X06";"Header 6";"";"";"";"";"";"";"";"";"";"CONN-08437";
"LOPYLEFT";"";"M14";"1X14";"Header 14";"";"";"";"";"";"";"";"";"";"";
"LOPYRIGHT";"";"M14";"1X14";"Header 14";"";"";"";"";"";"";"";"";"";"";
"Q1";"32.768kHz";"CRYSTALTC38H";"TC38H";"CRYSTAL";"";"";"";"";"";"unknown";"unknown";"";"";"";
"R1";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";
"R2";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";
"R3";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";
"R4";"10K";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";
"R5";"2.2k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";
"R6";"2.2k";"RESISTOR0402-RES";"0402-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";
"RUDD";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"THRO";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";"";
"U1";"BNO055";"BNO055";"LGA28R50P4X10_380X520X100";"BNO055 9-axis Absolute Orientation Sensor ( SiP ) w/Sensors and Sensor Fusion";"Good";"BNO055 9-axis Absolute Orientation Sensor ( SiP ) w/Sensors and Sensor Fusion";"Bosch";"BNO055";"";"";"";"LGA-28 Bosch";"9.48 USD";"";
"U3";"BMP180";"BMP180EXT";"BMP180_EXTENDED";"BMP180 Digital Pressure Sensor";"";"";"";"";"";"";"";"";"";"";
